"","LSOA11CD","x","y"
"0","E01000001",532150.87943059,181615.03845398
"1","E01000002",532443.35411899,181645.86185387
"2","E01000003",532207.06225525,182030.0867765
"3","E01000005",533618.5907817,181157.11850659
"4","E01000006",544934.3677421,184297.55091501
"5","E01000007",544139.85825767,184436.86685255
"6","E01000008",543630.59342826,184386.65811161
"7","E01000009",544601.13775988,184458.06169375
"8","E01000010",544231.15400763,184050.07719995
"9","E01000011",544382.70678316,184738.56568879
"10","E01000012",543917.45999877,184714.37323746
"11","E01000013",548969.1761538,184881.90212629
"12","E01000014",548481.33715633,184907.90623538
"13","E01000015",549590.20819212,185038.74436337
"14","E01000016",549306.37136071,185579.73606838
"15","E01000017",548904.57734988,185566.51703517
"16","E01000018",549322.00150888,185265.15625585
"17","E01000019",547097.64825072,186501.31742656
"18","E01000020",547393.63747688,186291.85763931
"19","E01000021",546797.84972092,186073.46982153
"20","E01000022",547148.85244793,186036.49048828
"21","E01000023",546468.17406792,185694.80149235
"22","E01000024",547135.3824174,185720.69420748
"23","E01000025",546947.55181105,185512.81666323
"24","E01000027",548472.71099132,190176.27810369
"25","E01000028",547630.74168655,189508.84515173
"26","E01000029",547977.51278567,188984.22605048
"27","E01000030",548130.99888487,189333.97321278
"28","E01000031",548652.28520667,189005.26311299
"29","E01000032",547972.47673041,188354.98149085
"30","E01000033",550042.38704543,186216.69679473
"31","E01000034",550633.4222968,186483.48489681
"32","E01000035",550059.24444819,185634.84127771
"33","E01000036",550432.34487668,185260.9532678
"34","E01000037",551171.37626301,187100.38326445
"35","E01000038",550721.22857159,187157.76530431
"36","E01000039",551150.50668311,186011.90722759
"37","E01000040",545565.89353241,184053.96033444
"38","E01000041",546853.91190302,184260.28364609
"39","E01000042",546209.98439629,184144.99050764
"40","E01000043",545753.15572027,183754.50593858
"41","E01000044",545070.73750399,183973.18457387
"42","E01000045",546484.06457112,183860.97823043
"43","E01000046",547125.07342342,184090.71861905
"44","E01000048",544623.49115598,183472.21621906
"45","E01000049",544814.29107204,183345.36650213
"46","E01000050",544775.29438394,183795.29946756
"47","E01000051",544523.79349247,183763.87920533
"48","E01000052",545279.25848253,183558.62358081
"49","E01000053",548796.97022193,183714.64813577
"50","E01000054",547990.52262135,184130.71128907
"51","E01000055",547567.10536736,184025.89303738
"52","E01000056",548325.25753855,183858.01221126
"53","E01000057",547586.50229275,184274.24989098
"54","E01000058",548230.87380842,184460.61274451
"55","E01000059",548639.10425625,184113.85282805
"56","E01000060",549646.6315495,186564.20905344
"57","E01000061",549679.89936356,186995.69516184
"58","E01000062",549300.61934791,186072.67641674
"59","E01000063",548845.88470764,186314.86842273
"60","E01000064",549671.32704349,186057.1378188
"61","E01000065",548717.17255191,185924.39682786
"62","E01000066",546122.07443329,185148.75003358
"63","E01000067",545776.04620917,185225.40198477
"64","E01000068",544888.44930621,184703.41951009
"65","E01000069",545722.68777516,184772.32831267
"66","E01000070",545171.90913928,184963.71655659
"67","E01000071",545711.09969032,184409.73110283
"68","E01000072",546485.40436881,184692.53336211
"69","E01000073",546667.25232658,185213.35199052
"70","E01000074",547148.95113108,185125.97592794
"71","E01000075",547619.91974409,184825.75273358
"72","E01000076",547127.7856294,184611.85011903
"73","E01000077",547492.74329693,185553.99151851
"74","E01000078",547943.71895113,185855.67190626
"75","E01000079",548374.2337317,185223.84680105
"76","E01000080",547915.62859135,185396.22268341
"77","E01000081",548369.90216068,185647.30584655
"78","E01000082",548362.62002108,186120.1529355
"79","E01000083",547656.69564933,185994.82307399
"80","E01000084",548865.52138512,184510.08422505
"81","E01000085",549232.97804492,184301.32559058
"82","E01000086",548920.79714012,184175.76355634
"83","E01000087",549243.20016437,183429.252055
"84","E01000088",549602.39665539,183862.43569742
"85","E01000089",549950.14203414,183521.68154031
"86","E01000090",549579.6656886,182456.69336518
"87","E01000091",546390.61565182,183031.00103807
"88","E01000092",546305.78326902,182438.81397231
"89","E01000093",545950.55136825,183247.97208375
"90","E01000094",546863.40283445,182638.38059298
"91","E01000095",548197.11354536,182981.87115874
"92","E01000096",546894.0827401,183545.96455048
"93","E01000097",547674.00956324,187131.2811771
"94","E01000098",547543.7807002,186810.26661746
"95","E01000099",547984.09766946,187064.29801041
"96","E01000100",548349.09954014,186637.43539833
"97","E01000101",548732.59971859,186662.56969915
"98","E01000102",547980.24788664,186407.90493027
"99","E01000103",550241.04004963,183965.38164196
"100","E01000104",550427.44770397,184444.88218645
"101","E01000105",549443.91353812,184521.24673394
"102","E01000106",549849.98008348,184566.61033419
"103","E01000107",550958.48393458,184860.64246348
"104","E01000108",550371.08108697,184885.69805316
"105","E01000109",548487.47565593,187207.59859897
"106","E01000110",548827.59978323,188219.33463036
"107","E01000111",548737.99800897,187749.88733634
"108","E01000112",548225.56273088,187774.72862534
"109","E01000113",547965.72588406,187815.27361609
"110","E01000114",549023.42017983,187246.11999114
"111","E01000115",528718.62919357,194673.40129312
"112","E01000116",528363.93149087,194387.22301702
"113","E01000117",527656.87795956,194297.09099729
"114","E01000118",528030.18537492,194045.29240909
"115","E01000119",529138.95149793,193975.59554688
"116","E01000120",528786.56306624,194213.9061268
"117","E01000121",528293.97620136,193653.35935118
"118","E01000122",529022.2048866,193538.25564811
"119","E01000123",528518.99107313,193198.39881734
"120","E01000124",528538.47702596,192751.9813227
"121","E01000125",519959.72085035,191002.86321829
"122","E01000126",521194.48489189,190577.64106651
"123","E01000127",520607.66682837,191134.60119692
"124","E01000128",520614.0793038,190572.80851284
"125","E01000129",520317.97738027,190620.75304313
"126","E01000130",520992.13390814,190949.28970486
"127","E01000131",520821.37647129,190213.5823752
"128","E01000132",520720.54751582,191431.03211543
"129","E01000133",521155.07595489,191308.54552874
"130","E01000134",520237.89231228,191293.24692765
"131","E01000135",524705.98265458,187036.52672337
"132","E01000136",525464.1491346,186869.04331971
"133","E01000137",524805.76461328,186580.81608112
"134","E01000138",524461.19868416,186549.09283813
"135","E01000139",524721.85130741,185997.954111
"136","E01000140",525101.49025317,186406.7948013
"137","E01000141",523766.00504636,186105.74170594
"138","E01000142",524099.73428983,186309.88654808
"139","E01000143",524297.85264353,185870.04397332
"140","E01000144",524903.00799682,187680.22014918
"141","E01000145",524455.20104766,187501.91792304
"142","E01000146",525007.18162174,187265.88157726
"143","E01000147",521377.60346254,189334.59990526
"144","E01000148",521012.50670629,189641.58666133
"145","E01000150",521803.3442166,188804.03583561
"146","E01000151",521790.56042861,190636.23308801
"147","E01000152",521716.18492369,190988.29113526
"148","E01000153",521427.57308224,190918.96986169
"149","E01000154",521687.53350018,190332.25723768
"150","E01000155",521266.25099497,190032.76858887
"151","E01000156",528322.47126431,190689.87676841
"152","E01000157",528559.3932476,191004.3482565
"153","E01000158",528056.43914459,192599.95761233
"154","E01000159",527616.95656958,192710.12467951
"155","E01000160",528533.58087096,192130.25391804
"156","E01000161",528018.69470059,192134.51584514
"157","E01000162",527620.3566852,191965.06470984
"158","E01000163",528540.97993472,191511.21861943
"159","E01000164",527990.93233146,191272.18103453
"160","E01000165",528183.51999551,191733.76219188
"161","E01000166",527439.55080308,196636.07431657
"162","E01000167",526725.50313902,196819.30764535
"163","E01000168",527675.31956907,196079.36958806
"164","E01000169",527110.20155119,196181.15632615
"165","E01000170",527139.82879954,195709.17541476
"166","E01000171",526665.15412632,196043.1969224
"167","E01000172",528102.92728011,195308.32925259
"168","E01000173",527677.42761964,195207.6567177
"169","E01000174",527075.10593044,195247.41593047
"170","E01000175",527442.14311858,194788.09628026
"171","E01000176",526215.11357481,190120.60482333
"172","E01000177",526736.35753842,189796.10901428
"173","E01000178",527211.17850447,190122.46590861
"174","E01000179",526410.296589,189988.38792168
"175","E01000180",526811.1609381,189452.57838191
"176","E01000181",527304.86150225,189609.74007444
"177","E01000182",527434.30938715,189249.77818718
"178","E01000183",526456.72044858,189419.76618178
"179","E01000184",527113.89423796,190781.55159625
"180","E01000185",526737.86480958,190156.83406146
"181","E01000186",519546.21533614,192972.56806677
"182","E01000187",519667.86477841,193349.07758385
"183","E01000188",518736.66308779,193868.88353665
"184","E01000189",518588.03789513,192789.58087044
"185","E01000190",518867.69791332,192480.46693086
"186","E01000191",519284.80526864,192683.65157194
"187","E01000192",519656.5751232,192267.83391639
"188","E01000193",519243.9206096,192049.00555229
"189","E01000194",519605.9136489,191626.28316842
"190","E01000195",520033.50544472,193870.14684965
"191","E01000196",525046.07159415,190341.40126971
"192","E01000197",525590.20970468,190258.84691502
"193","E01000198",523787.15145414,190059.94660513
"194","E01000199",524299.02227697,190502.69607315
"195","E01000200",524474.71340746,190119.51987439
"196","E01000201",524454.52432143,189613.60404771
"197","E01000202",525043.63553302,189923.42513041
"198","E01000203",525259.89500763,189707.90505233
"199","E01000204",524658.30159988,190792.78483891
"200","E01000205",525537.5578654,189143.03175751
"201","E01000206",526428.57478217,187865.75532758
"202","E01000207",525910.34340218,188603.57628094
"203","E01000208",526924.42702591,189000.82174677
"204","E01000209",525268.40824862,188714.23087869
"205","E01000210",525985.54365782,189404.98521496
"206","E01000211",524967.70589078,188989.60886621
"207","E01000212",525346.64652329,188113.96398737
"208","E01000213",526307.34302532,188405.97525229
"209","E01000214",525452.11036849,187610.96782356
"210","E01000215",524180.51147482,188381.51522511
"211","E01000216",524771.54613637,188204.46039068
"212","E01000217",524580.73006539,188677.34706232
"213","E01000218",524370.50428709,188067.39387408
"214","E01000219",523956.85216042,187871.15895774
"215","E01000220",524292.00695834,187805.07442772
"216","E01000221",523503.77602845,187529.49494409
"217","E01000222",523893.89057924,187142.43877126
"218","E01000223",523239.70574711,186912.35180235
"219","E01000224",523950.67110211,186736.99173756
"220","E01000225",524420.93273608,189026.60669739
"221","E01000226",520165.73048549,191600.34345054
"222","E01000227",520107.99334079,192036.38500834
"223","E01000228",520992.66157116,194175.90393874
"224","E01000229",520208.77833444,193181.10540737
"225","E01000230",519959.5272311,192980.05659047
"226","E01000231",520656.40775703,193174.66580882
"227","E01000232",520502.73383989,192619.69892315
"228","E01000233",520514.11969309,192060.70533693
"229","E01000234",520911.60261273,192195.0105344
"230","E01000235",521134.19921209,191647.93444955
"231","E01000236",523889.04250864,188826.19216535
"232","E01000237",523078.94365663,188900.92360994
"233","E01000238",523923.21850983,189258.21031666
"234","E01000239",522422.26260395,189538.1941345
"235","E01000240",522633.04294066,190287.45766424
"236","E01000241",523035.97280696,189910.56697689
"237","E01000242",523626.88056587,189699.67254728
"238","E01000243",523331.18838781,189458.29383676
"239","E01000244",522847.644579,189506.93289625
"240","E01000245",523294.34999121,189069.27805815
"241","E01000246",525601.24124824,196914.48357132
"242","E01000247",525982.77222874,196655.62443301
"243","E01000248",524079.65127592,196616.23749053
"244","E01000249",523598.75246469,196916.94426529
"245","E01000250",524836.24430283,196646.40928162
"246","E01000251",526086.05646024,196203.66796799
"247","E01000252",525611.72617963,196109.82508053
"248","E01000253",522051.96626646,196097.64495634
"249","E01000254",524701.38251042,197610.52807016
"250","E01000255",523017.09898631,192286.24031656
"251","E01000256",522280.38168131,191596.26020113
"252","E01000257",524249.67785891,191501.94882785
"253","E01000258",521957.84903893,192165.11340171
"254","E01000259",523526.49312425,190934.96029557
"255","E01000260",522442.9108582,190990.88482989
"256","E01000261",522276.95699166,193079.17118468
"257","E01000262",524122.71993885,192455.15599552
"258","E01000263",521430.56007574,192775.0112939
"259","E01000264",521226.53868932,192500.62142127
"260","E01000265",527613.99852722,193316.25078304
"261","E01000266",527006.92928874,193170.91302821
"262","E01000267",526545.49380228,195184.03984768
"263","E01000268",525976.41348652,195830.31802044
"264","E01000269",525799.56980794,195428.17199544
"265","E01000270",526357.57282825,195635.85964372
"266","E01000271",526256.320212,194919.83471427
"267","E01000272",526957.99909201,194397.92806647
"268","E01000273",526717.10800574,194146.15888441
"269","E01000274",527407.31965915,193700.00825648
"270","E01000275",525633.70831898,192882.78310859
"271","E01000276",525043.18009577,192834.81347657
"272","E01000277",525878.76934719,192603.9842678
"273","E01000278",525105.96976965,192127.18443134
"274","E01000279",523824.83017299,194155.54239921
"275","E01000280",525555.48233781,194324.35496416
"276","E01000281",526573.18047951,193754.51200668
"277","E01000282",526021.94390789,193957.87188453
"278","E01000283",525440.60653724,193326.36466995
"279","E01000284",526203.25714277,193256.42085285
"280","E01000285",523939.95791472,195639.34582471
"281","E01000286",523363.45276791,195878.60987801
"282","E01000287",523638.69660793,195426.20434275
"283","E01000288",525336.51602152,195473.29391254
"284","E01000289",524954.3143009,195473.74876559
"285","E01000290",522159.83763586,195087.00330938
"286","E01000291",524400.98330288,195389.31529489
"287","E01000292",524371.28853406,196039.84839957
"288","E01000293",524716.18242858,196005.5655378
"289","E01000294",523935.20657311,196083.04288159
"290","E01000295",525565.69721938,190738.84866094
"291","E01000296",525222.26831001,191054.58958441
"292","E01000297",525997.82451874,190465.88537627
"293","E01000298",525769.9957019,191059.10889394
"294","E01000299",526229.85948263,192138.31745088
"295","E01000300",525861.73106851,192187.52353408
"296","E01000301",525539.23138616,191814.46777927
"297","E01000302",525915.92516214,191775.40210718
"298","E01000303",525208.39134276,191510.86919647
"299","E01000304",524893.55192754,191244.06690156
"300","E01000305",521911.70160744,187540.12487687
"301","E01000306",522355.22564918,188104.29252965
"302","E01000307",522961.61660498,187773.35714961
"303","E01000308",521484.12858607,188003.04163388
"304","E01000309",522360.97060291,188806.96371942
"305","E01000310",523128.46059244,188217.03155323
"306","E01000311",523552.80152227,188455.10436382
"307","E01000312",521309.44644743,188473.5394152
"308","E01000313",522076.25709922,188324.03941869
"309","E01000314",522730.37864243,188433.22242104
"310","E01000315",527152.35386441,191455.57560077
"311","E01000316",526487.60885356,191124.8945676
"312","E01000317",526108.57218867,191491.34117924
"313","E01000318",526687.18632104,191734.13179522
"314","E01000319",526189.55711134,190875.28138058
"315","E01000320",526661.44333214,192782.35501108
"316","E01000321",526259.88954263,192822.3829158
"317","E01000322",526751.04969672,192451.00785507
"318","E01000323",526528.88121458,192164.95330491
"319","E01000324",527178.66385941,192145.82850277
"320","E01000325",550498.14610625,175901.44163539
"321","E01000326",551185.38152538,176018.29343269
"322","E01000327",549746.29851872,175939.06295643
"323","E01000328",550695.9090855,175398.95645172
"324","E01000329",549938.63575902,175065.09862536
"325","E01000330",549644.76015493,175533.04025008
"326","E01000331",550292.59100625,174568.70912731
"327","E01000332",549471.53669829,178498.2437863
"328","E01000333",549114.99490439,178108.09358549
"329","E01000334",548632.75496026,178206.41986603
"330","E01000335",549764.43819826,179926.73658234
"331","E01000336",549047.6891481,179044.45248047
"332","E01000337",548790.64365548,178756.96257182
"333","E01000338",549167.66840895,178698.08125914
"334","E01000339",545036.99182988,173153.08241413
"335","E01000340",545283.54115792,174668.84030133
"336","E01000341",545636.85564214,174348.42289761
"337","E01000342",545375.30186093,173992.03438663
"338","E01000343",545945.27437408,174146.5144384
"339","E01000344",545173.68875332,173485.7775356
"340","E01000345",545637.56462101,173528.69810251
"341","E01000346",546791.59557792,173967.65248187
"342","E01000347",546435.97083863,174243.5612006
"343","E01000348",547811.27762025,173959.59445636
"344","E01000349",548401.58082126,174137.05091024
"345","E01000350",546332.32843463,173802.50120614
"346","E01000351",547183.8292906,173698.99304908
"347","E01000352",547111.08733189,174315.9074171
"348","E01000353",548993.28013786,176633.94846011
"349","E01000354",548364.9022769,176766.6313905
"350","E01000355",549625.11478456,176495.14865485
"351","E01000356",548172.06224452,176330.14173201
"352","E01000357",547821.90597288,176393.02456365
"353","E01000358",548760.36263738,176258.44987383
"354","E01000359",548072.84822227,177035.44803802
"355","E01000360",548685.39263253,175387.83554309
"356","E01000361",548167.95736594,174804.60612298
"357","E01000362",549209.0057885,174987.37314655
"358","E01000363",548555.65298084,174655.79785498
"359","E01000364",549423.13201335,174527.4688141
"360","E01000365",549124.68386338,175744.362854
"361","E01000366",548449.09510249,175773.79099856
"362","E01000367",551275.4972073,177071.84766819
"363","E01000368",551182.74379838,176621.4611979
"364","E01000369",550657.4815306,176799.2697149
"365","E01000370",550242.57221209,176484.24551415
"366","E01000371",550861.93990539,176358.66958947
"367","E01000372",550830.6136335,177318.36059084
"368","E01000373",551396.09534357,177267.51207315
"369","E01000374",552568.79936106,175505.86653591
"370","E01000375",552174.83721904,174704.14584056
"371","E01000376",551925.06541493,175367.53620389
"372","E01000377",551378.42300019,175276.41342462
"373","E01000378",551036.97414678,174422.01490608
"374","E01000379",551594.54658468,174136.46601725
"375","E01000380",551804.92905329,175906.96488098
"376","E01000381",548971.28479935,172299.20425579
"377","E01000382",547357.07000684,171996.30974525
"378","E01000383",548868.10945891,171078.4839611
"379","E01000384",546936.66229065,171263.01431826
"380","E01000385",547794.68195669,170987.42322764
"381","E01000386",547224.80364693,170846.87531876
"382","E01000387",547779.23782567,172582.35543683
"383","E01000388",546745.09666688,175378.65089738
"384","E01000389",547681.11417601,175302.54694579
"385","E01000390",547545.7223978,174772.34766938
"386","E01000391",546813.53569973,174753.83400483
"387","E01000392",546832.80815432,175857.08192087
"388","E01000393",547463.60224548,175779.22848161
"389","E01000394",547994.74442622,175770.01346177
"390","E01000395",545041.70253666,176161.7949544
"391","E01000396",545112.57005518,175732.33533653
"392","E01000398",545546.6942091,176738.33835068
"393","E01000399",545478.24542636,176231.46147805
"394","E01000400",545881.00056016,176384.15355739
"395","E01000401",546385.80499945,176319.69868023
"396","E01000402",549768.38581362,178220.72789077
"397","E01000403",551301.95753822,177900.03455645
"398","E01000404",551048.62334445,178451.05258016
"399","E01000405",550698.79684391,178805.83081552
"400","E01000406",550185.12473763,178323.97981084
"401","E01000407",550585.32405173,177806.58022458
"402","E01000408",550393.33163018,179516.16653281
"403","E01000409",546152.5974339,175275.8608376
"404","E01000410",545432.66309178,175284.83210505
"405","E01000411",545929.73509806,174988.06980047
"406","E01000412",545036.69374871,175269.41719641
"407","E01000413",545820.78611779,174733.86952542
"408","E01000414",546154.47587407,175836.04074953
"409","E01000415",545734.43221979,175605.86915098
"410","E01000416",547594.8329325,179285.19619868
"411","E01000417",547819.31064103,178305.24630966
"412","E01000418",548076.98019107,178857.45982829
"413","E01000419",547849.09288573,177604.9890459
"414","E01000420",548513.32865294,177768.59063719
"415","E01000421",548275.29075811,177404.29854246
"416","E01000422",547608.53530031,179498.12280322
"417","E01000423",544637.09360348,172554.32315155
"418","E01000424",545900.34039592,172311.50901302
"419","E01000425",545197.72450165,172652.50686955
"420","E01000426",545208.00337611,172175.58120771
"421","E01000427",545552.68447915,171776.52843495
