"","MSOA11CD","x","y"
"0","E02000001",532482.70397679,181269.31001761
"1","E02000002",548312.91458741,189881.37858749
"2","E02000003",548454.92492797,188400.14988464
"3","E02000004",551008.97174505,186310.93443301
"4","E02000005",548667.08932557,186903.34361035
"5","E02000007",549648.73395136,186561.02964671
"6","E02000008",548139.57969899,185911.09392956
"7","E02000009",546964.94466092,185757.0908643
"8","E02000010",549064.2122595,185295.46680735
"9","E02000011",550508.53047781,185162.33794619
"10","E02000012",545635.97695222,184893.2913587
"11","E02000013",547277.30309629,184854.7214206
"12","E02000014",548785.42952737,184554.68900567
"13","E02000015",550075.96427871,184230.84704
"14","E02000016",544028.73785847,184316.86438025
"15","E02000017",544838.19671761,184459.67281042
"16","E02000018",546552.95317481,184299.07548344
"17","E02000019",548167.56025651,183256.82024311
"18","E02000020",546104.06800014,182741.58731433
"19","E02000021",549508.4285044,182827.51909432
"20","E02000022",544383.73853903,183516.51511
"21","E02000023",546653.19310591,183109.22469891
"22","E02000024",524414.92210849,197000.6960667
"23","E02000025",525971.15028401,196718.55847162
"24","E02000026",527682.62465203,195951.60092956
"25","E02000027",524409.51646242,195592.81894348
"26","E02000028",526170.78737492,195509.99633977
"27","E02000029",527246.06223603,195340.00350187
"28","E02000030",522735.98560909,194776.05461628
"29","E02000031",526484.42997651,194241.25281165
"30","E02000032",528839.22401761,194154.45394288
"31","E02000033",528235.72050032,193569.29988923
"32","E02000034",527071.74288378,193128.87048618
"33","E02000035",525825.97838877,193028.15717363
"34","E02000036",520325.71245515,193009.73297151
"35","E02000037",518863.64304028,193601.77583835
"36","E02000038",527828.31864547,192351.1445307
"37","E02000039",521813.1865169,192189.92322734
"38","E02000040",523480.99122777,192439.82731173
"39","E02000041",519703.36775084,191930.19402868
"40","E02000042",526260.06273563,191902.6302239
"41","E02000043",525158.67740254,192116.70312595
"42","E02000044",521003.18483509,191594.31666962
"43","E02000045",527904.28261854,191323.8342688
"44","E02000046",525550.3796172,190761.62888967
"45","E02000047",520442.47543683,190746.1359507
"46","E02000048",523468.78168076,190795.23002207
"47","E02000049",521558.01537243,190714.0611354
"48","E02000050",526728.06014986,190620.15290386
"49","E02000051",524820.40113502,189902.52961864
"50","E02000052",526944.04986212,189657.62275711
"51","E02000053",521558.11981809,189734.19416546
"52","E02000054",522609.44403521,189700.41962309
"53","E02000055",523148.27414305,189160.31079518
"54","E02000056",526353.0179357,188507.693355
"55","E02000057",523576.46244902,188625.03221367
"56","E02000058",525158.8686802,188671.71899188
"57","E02000059",521790.9884409,188097.11476608
"58","E02000060",524289.39381927,188205.27160008
"59","E02000061",525174.41289055,187210.61226957
"60","E02000062",523330.59850327,187125.60286211
"61","E02000063",524084.63133431,186769.30021111
"62","E02000064",524712.3522704,186135.61854766
"63","E02000065",548359.63059118,180392.31080806
"64","E02000066",548003.79830293,179327.71448443
"65","E02000067",549467.21219931,179400.2578783
"66","E02000068",550744.95646154,178869.20538162
"67","E02000069",550077.84182406,178179.78238975
"68","E02000070",548275.72774507,178001.26329429
"69","E02000071",549836.87915005,177250.61520377
"70","E02000072",552735.39606951,176997.23213031
"71","E02000073",547830.2483099,176924.93492394
"72","E02000074",551324.8584906,176679.43140425
"73","E02000075",549001.01978585,176628.15720749
"74","E02000077",546965.08867933,176423.8693729
"75","E02000078",550652.21294427,176282.71438748
"76","E02000079",548768.92923383,175474.63323215
"77","E02000080",546347.02220082,175493.49706171
"78","E02000081",550145.7052607,175235.88185639
"79","E02000082",545269.21234889,175362.71670175
"80","E02000083",551689.92569646,174881.30156014
"81","E02000084",547931.34398149,174782.98709955
"82","E02000085",546748.21561105,174274.59791707
"83","E02000086",545877.85674534,173784.07877333
"84","E02000087",549668.89890635,173548.17932109
"85","E02000088",547642.8787078,173205.94264298
"86","E02000089",545083.53172096,172914.6867341
"87","E02000090",545880.49853221,172226.27193791
"88","E02000091",546867.26144361,171710.93692316
"89","E02000092",548646.73296455,171466.81654443
"90","E02000093",519612.08604955,189691.19096337
"91","E02000094",520666.07628284,189156.51488665
"92","E02000095",519253.37606445,188678.36411633
"93","E02000096",517633.43519307,188209.92815392
"94","E02000097",520391.10372196,187860.62848779
"95","E02000098",518979.78067319,187545.85720499
"96","E02000099",517819.01999114,186969.37527822
