"","GSS_CODE","x","y"
"0","E05000405",517652.34347955,162339.16093109
"1","E05000414",519124.9351874,165300.01681074
"2","E05000401",519108.40698071,167344.32499262
"3","E05000400",520118.14017774,166393.32937371
"4","E05000402",521204.94588955,168516.7882486
"5","E05000406",520755.17838483,170623.23449538
"6","E05000404",518064.39023919,164595.01911271
"7","E05000413",518303.17660195,166453.84779375
"8","E05000410",521495.06429518,166551.3661053
"9","E05000412",518248.33786223,167703.02177147
"10","E05000408",518350.17792052,168664.96349764
"11","E05000403",518683.57731222,170027.68871443
"12","E05000409",519338.97937651,169013.95419615
"13","E05000407",520599.91887608,169225.84944401
"14","E05000411",521403.10756266,167466.96939672
"15","E05000415",518199.8840034,170918.9684886
"16","E05000150",530902.55142679,157877.69289715
"17","E05000162",535143.85912924,162268.03887989
"18","E05000151",529535.57470104,159738.16560857
"19","E05000167",531576.78928448,164133.00011499
"20","E05000156",532213.16338838,159411.34117606
"21","E05000159",531278.90909322,161832.88728346
"22","E05000160",533812.45325318,160873.05200134
"23","E05000155",536431.76655743,163795.35964947
"24","E05000153",533334.24598684,165279.39572158
"25","E05000149",531211.47078663,166196.78269876
"26","E05000168",530972.56177796,167579.45247891
"27","E05000148",531831.33865071,168155.08708327
"28","E05000158",530918.82922375,169654.19906771
"29","E05000157",538709.09895919,162118.49801456
"30","E05000152",533201.8076121,163524.39630406
"31","E05000154",538115.89100783,163468.0635731
"32","E05000163",536633.70859025,165867.3603355
"33","E05000161",532833.70539298,167346.95712482
"34","E05000147",535216.01084305,166807.65536738
"35","E05000169",534632.65591629,167822.8948167
"36","E05000165",532567.81353896,168869.70025709
"37","E05000166",532313.49353854,170115.33258859
"38","E05000164",533768.08503978,169130.78801695
"39","E05000146",533602.45611662,166381.96715645
"40","E05000117",543431.01216876,160680.80925181
"41","E05000119",540119.641888,165333.38246
"42","E05000108",542144.44132542,165698.36258371
"43","E05000110",547254.63400559,163447.83244756
"44","E05000107",541126.60550086,159409.62409163
"45","E05000127",538486.23559645,166195.39486598
"46","E05000112",535881.42124354,169134.33942572
"47","E05000120",537174.30769746,167910.31124148
"48","E05000118",543987.46629885,164952.25823041
"49","E05000126",539113.83220955,168272.30312786
"50","E05000109",540235.89649327,169113.65485105
"51","E05000106",542440.79752255,168942.94472619
"52","E05000124",544731.41020325,167255.46871063
"53","E05000116",534385.80998281,170432.96022905
"54","E05000123",535814.8735146,170355.69439006
"55","E05000113",537837.48658283,169948.25655736
"56","E05000125",540789.6797951,170692.98784871
"57","E05000111",544349.83619533,170271.29567723
"58","E05000121",542016.42574817,172344.07371657
"59","E05000122",546925.93863656,165696.0946468
"60","E05000115",546362.59837361,168910.43700385
"61","E05000114",548408.32142961,168003.43685311
"62","E05000346",508501.92079798,173534.06788166
"63","E05000353",511914.1170415,171616.97850665
"64","E05000350",510883.0237286,176153.87111365
"65","E05000364",516964.22887775,176896.947792
"66","E05000357",511369.10218177,177783.30886241
"67","E05000356",513250.77824921,177373.83664055
"68","E05000363",515058.61846306,177717.18002416
"69","E05000347",517998.69829892,178453.51824119
"70","E05000348",521309.97935206,177554.24568176
"71","E05000352",509351.4475592,172311.90991596
"72","E05000354",511142.12095046,172478.01501659
"73","E05000351",510511.92851876,174387.67834264
"74","E05000359",512556.98745247,174579.24208278
"75","E05000361",512405.87370837,175619.34530319
"76","E05000355",512540.86444504,176789.40168437
"77","E05000360",514714.61946436,175075.46735528
"78","E05000362",515992.90536277,175309.79388764
"79","E05000358",514237.61037859,175954.86307546
"80","E05000349",520187.60745152,177460.03922708
"81","E05000365",520167.71504034,178520.72953985
"82","E05000186",513864.67679032,179405.98253972
"83","E05000190",511854.66368246,179125.55250561
"84","E05000185",511472.49347914,183374.94253127
"85","E05000172",513782.84855242,180932.06509639
"86","E05000177",513624.13505592,182757.55029294
"87","E05000183",515685.8623055,184822.56995527
"88","E05000182",517047.3933972,179067.81993309
"89","E05000175",520780.05656905,181726.04178675
"90","E05000189",512284.87628804,180167.90135172
"91","E05000176",515733.71045234,179775.73089828
"92","E05000192",517003.16358862,180003.96592076
"93","E05000181",513140.18050736,181716.45359338
"94","E05000184",513003.24864722,184544.44737983
"95","E05000180",515220.13989662,181354.61071602
"96","E05000171",516461.19565059,181854.34158103
"97","E05000178",514618.75700398,183893.05911705
"98","E05000187",516381.68984053,183191.71851759
"99","E05000174",518395.16468058,180035.99729153
"100","E05000173",517386.26451057,181148.4697475
"101","E05000188",519650.0012904,180036.74412751
"102","E05000191",520762.6685338,179331.75737187
"103","E05000170",520090.39600744,180970.65318657
"104","E05000179",518516.89623359,182187.93530052
"105","E05000323",557696.16054809,185376.33388274
"106","E05000318",553303.02324459,181289.26855773
"107","E05000321",551338.4126253,182763.23485904
"108","E05000308",552459.60529935,184863.92364657
"109","E05000306",550138.95079826,188222.5473446
"110","E05000319",551758.70595519,188757.42379909
"111","E05000316",549729.02886004,190276.00818908
"112","E05000317",551561.27312752,190454.48465389
"113","E05000311",553950.53930946,185844.58505258
"114","E05000320",553811.29802487,186874.70619048
"115","E05000309",554750.67181741,188608.85325572
"116","E05000322",553389.79977152,189404.23149175
"117","E05000312",555720.02534936,190550.6701356
