"LSOA11CD","LSOA11NM","mean.hh.income"
"E01000001","City of London 001A",74846.2
"E01000002","City of London 001B",73325.4
"E01000003","City of London 001C",44130.3
"E01000005","City of London 001E",30780.8
"E01000006","Barking and Dagenham 016A",46141.1
"E01000007","Barking and Dagenham 015A",30821.8
"E01000008","Barking and Dagenham 015B",28358.8
"E01000009","Barking and Dagenham 016B",38261.4
"E01000010","Barking and Dagenham 015C",37276.8
"E01000011","Barking and Dagenham 016C",33132.7
"E01000012","Barking and Dagenham 015D",32616.7
"E01000013","Barking and Dagenham 013A",32742
"E01000014","Barking and Dagenham 013B",32307.8
"E01000015","Barking and Dagenham 009A",31524.5
"E01000016","Barking and Dagenham 009B",33564.3
"E01000017","Barking and Dagenham 009C",32478.5
"E01000018","Barking and Dagenham 009D",33842.8
"E01000019","Barking and Dagenham 023A",33769.6
"E01000020","Barking and Dagenham 023B",33994.9
"E01000021","Barking and Dagenham 008A",30889.8
"E01000022","Barking and Dagenham 008B",35700.5
"E01000023","Barking and Dagenham 008C",33985.8
"E01000024","Barking and Dagenham 008D",33338.1
"E01000025","Barking and Dagenham 008E",34076
"E01000027","Barking and Dagenham 001A",31995.1
"E01000028","Barking and Dagenham 001B",30915.2
"E01000029","Barking and Dagenham 001C",43034.5
"E01000030","Barking and Dagenham 001D",29507.8
"E01000031","Barking and Dagenham 002A",47995.1
"E01000032","Barking and Dagenham 002B",40235.9
"E01000033","Barking and Dagenham 006A",30599.8
"E01000034","Barking and Dagenham 003A",36749.3
"E01000035","Barking and Dagenham 010A",37206.4
"E01000036","Barking and Dagenham 010B",43059.4
"E01000037","Barking and Dagenham 003B",52890.7
"E01000038","Barking and Dagenham 003C",46890.9
"E01000039","Barking and Dagenham 003D",45152.7
"E01000040","Barking and Dagenham 019A",32533.4
"E01000041","Barking and Dagenham 017A",33989.5
"E01000042","Barking and Dagenham 017B",30690
"E01000043","Barking and Dagenham 019B",33452
"E01000044","Barking and Dagenham 016D",35327.2
"E01000045","Barking and Dagenham 017C",34782.9
"E01000046","Barking and Dagenham 017D",32992.3
