"","LSOA11CD","LSOA11NM","house.price"
"1","E01000001","City of London 001A",516491.5
"2","E01000002","City of London 001B",537916.666666667
"3","E01000003","City of London 001C",334500
"4","E01000005","City of London 001E",326666.666666667
"5","E01000006","Barking and Dagenham 016A",239016.666666667
"6","E01000007","Barking and Dagenham 015A",164000
"7","E01000008","Barking and Dagenham 015B",140833.333333333
"8","E01000009","Barking and Dagenham 016B",194833.333333333
"9","E01000010","Barking and Dagenham 015C",136991.666666667
"10","E01000011","Barking and Dagenham 016C",224331.666666667
"11","E01000012","Barking and Dagenham 015D",142416.666666667
"12","E01000013","Barking and Dagenham 013A",157500
"13","E01000014","Barking and Dagenham 013B",159333.333333333
"14","E01000015","Barking and Dagenham 009A",150666.666666667
"15","E01000016","Barking and Dagenham 009B",165665
"16","E01000017","Barking and Dagenham 009C",166083.333333333
"17","E01000018","Barking and Dagenham 009D",167666.666666667
"18","E01000019","Barking and Dagenham 023A",174666.666666667
"19","E01000020","Barking and Dagenham 023B",171000
"20","E01000021","Barking and Dagenham 008A",162166.666666667
"21","E01000022","Barking and Dagenham 008B",163333.333333333
"22","E01000023","Barking and Dagenham 008C",178661.666666667
"23","E01000024","Barking and Dagenham 008D",174250
"24","E01000025","Barking and Dagenham 008E",168333.333333333
"25","E01000027","Barking and Dagenham 001A",175500
"26","E01000028","Barking and Dagenham 001B",152666.666666667
"27","E01000029","Barking and Dagenham 001C",235166.666666667
"28","E01000030","Barking and Dagenham 001D",145333.333333333
"29","E01000031","Barking and Dagenham 002A",221833.333333333
"30","E01000032","Barking and Dagenham 002B",198000
"31","E01000033","Barking and Dagenham 006A",171733.333333333
"32","E01000034","Barking and Dagenham 003A",205166.666666667
"33","E01000035","Barking and Dagenham 010A",184333.333333333
"34","E01000036","Barking and Dagenham 010B",192500
"35","E01000037","Barking and Dagenham 003B",203000
"36","E01000038","Barking and Dagenham 003C",211250
"37","E01000039","Barking and Dagenham 003D",184166.666666667
"38","E01000040","Barking and Dagenham 019A",176500
"39","E01000041","Barking and Dagenham 017A",160666.666666667
"40","E01000042","Barking and Dagenham 017B",165491.666666667
"41","E01000043","Barking and Dagenham 019B",221250
"42","E01000044","Barking and Dagenham 016D",185666.666666667
"43","E01000045","Barking and Dagenham 017C",161500
"44","E01000046","Barking and Dagenham 017D",161500
"45","E01000048","Barking and Dagenham 021B",113000
"46","E01000049","Barking and Dagenham 021C",151666.666666667
"47","E01000050","Barking and Dagenham 019C",189500
"48","E01000051","Barking and Dagenham 021D",143500
"49","E01000052","Barking and Dagenham 019D",161416.666666667
"50","E01000053","Barking and Dagenham 020A",137000
"51","E01000054","Barking and Dagenham 018A",168831.666666667
"52","E01000055","Barking and Dagenham 018B",157333.333333333
"53","E01000056","Barking and Dagenham 018C",159150
"54","E01000057","Barking and Dagenham 012A",161332.5
"55","E01000058","Barking and Dagenham 018D",168998.333333333
"56","E01000059","Barking and Dagenham 013C",158832.5
"57","E01000060","Barking and Dagenham 006B",146833.333333333
"58","E01000061","Barking and Dagenham 006C",133166.666666667
"59","E01000062","Barking and Dagenham 006D",178833.333333333
"60","E01000063","Barking and Dagenham 004A",163166.666666667
"61","E01000064","Barking and Dagenham 006E",155999.166666667
"62","E01000065","Barking and Dagenham 007A",154248.333333333
"63","E01000066","Barking and Dagenham 011A",250249.166666667
"64","E01000067","Barking and Dagenham 011B",249999.833333333
"65","E01000068","Barking and Dagenham 016E",252541.666666667
"66","E01000069","Barking and Dagenham 011C",284000
"67","E01000070","Barking and Dagenham 011D",263833.333333333
"68","E01000071","Barking and Dagenham 011E",254165
"69","E01000072","Barking and Dagenham 017E",160500
"70","E01000073","Barking and Dagenham 012B",160000
"71","E01000074","Barking and Dagenham 012C",159666.666666667
