MSOA_CODE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E02000001,"1,045","1,070","1,100","1,080","1,130","1,160","1,215","1,220","1,345","1,295","1,235","1,275","1,320","1,420","1,510","1,635","1,825"
E02000002,10,10,10,5,10,10,10,10,10,10,10,15,15,20,20,20,15
E02000003,30,35,40,40,40,35,35,35,35,35,40,40,50,50,45,50,55
E02000004,5,5,5,10,10,10,10,10,5,5,5,10,10,10,15,10,15
E02000005,15,10,15,15,15,15,15,20,15,15,15,20,20,20,25,20,30
E02000007,15,15,15,15,15,20,15,20,15,15,15,25,35,40,35,35,25
E02000008,15,15,15,15,15,15,10,15,10,10,10,20,20,20,25,25,25
E02000009,15,15,15,15,15,15,10,10,10,10,10,20,15,20,25,25,20
E02000010,5,0,0,5,0,0,0,0,0,0,5,5,10,10,5,10,10
E02000011,20,25,20,20,20,20,20,20,20,25,20,25,25,25,35,25,25
E02000012,15,15,10,15,15,15,15,15,20,15,10,15,15,20,15,15,15
E02000013,5,10,10,10,5,10,10,10,10,10,5,10,10,15,15,20,20
E02000014,20,20,20,20,20,20,20,20,20,20,20,35,35,35,30,30,30
E02000015,10,15,15,10,15,10,10,10,10,10,10,15,20,20,15,15,15
E02000016,60,65,50,55,60,60,60,65,65,55,65,70,80,85,75,80,85
E02000017,20,20,15,20,20,20,15,20,20,20,20,25,25,25,30,30,35
E02000018,10,5,5,5,10,15,10,10,10,10,15,15,10,15,20,20,15
E02000019,15,15,15,15,15,15,15,15,20,20,15,25,25,25,20,15,15
E02000020,20,20,20,20,25,20,20,25,25,15,15,20,25,25,35,35,35
E02000021,35,30,25,25,25,25,25,25,15,15,15,25,25,25,25,25,30
E02000022,5,5,10,10,10,5,5,5,5,5,5,10,10,15,15,15,20
E02000023,10,10,10,10,10,5,10,5,5,5,10,15,20,25,20,20,20
E02006799,20,20,25,25,20,25,20,25,25,20,25,25,30,25,30,30,35
E02000024,80,80,80,85,90,85,80,80,85,80,85,90,85,90,95,95,105
E02000025,30,35,25,30,25,20,25,25,30,30,30,35,40,40,45,45,50
E02000026,15,15,15,15,15,15,15,15,15,10,10,15,10,15,15,15,15
E02000027,20,20,20,15,15,20,20,20,20,20,15,15,15,15,15,15,15
E02000028,20,20,25,20,20,15,10,15,15,20,20,20,20,25,25,20,20
E02000029,55,55,50,50,55,60,50,55,50,45,50,50,55,65,70,55,45
E02000030,45,45,45,40,40,40,40,40,35,35,35,35,40,40,40,35,40
E02000031,60,65,65,55,60,65,65,70,70,60,60,60,65,65,65,70,65
E02000032,15,15,15,15,20,20,20,25,25,25,25,25,25,20,20,20,25
E02000033,25,20,20,15,20,20,20,20,25,35,30,35,35,35,35,35,35
E02000034,40,30,30,30,30,30,35,35,35,30,30,30,30,35,35,35,30
E02000035,35,35,30,25,30,30,30,35,35,25,25,30,25,20,25,30,35
E02000036,15,15,15,20,15,15,15,20,25,25,25,25,25,25,25,30,25
E02000037,10,15,15,15,15,15,15,15,15,15,15,15,15,15,20,15,20
E02000038,40,35,40,30,35,40,35,35,35,40,45,45,45,45,50,55,55
E02000039,50,45,50,50,45,45,40,35,40,35,40,40,40,45,50,50,55
E02000040,35,35,30,30,30,25,25,30,30,30,25,25,25,30,30,30,30
E02000041,65,60,60,65,65,65,65,70,70,65,60,65,70,70,75,75,70
E02000042,70,65,75,75,80,95,80,80,65,60,70,65,65,85,90,95,110
E02000043,10,15,20,15,15,20,20,20,20,15,15,15,15,15,20,15,20
E02000044,15,15,15,10,15,15,20,20,30,20,20,25,20,20,15,15,20
E02000045,20,25,25,25,30,25,25,25,25,30,25,25,30,30,40,35,35
E02000046,60,55,50,60,60,65,70,75,80,75,65,75,80,85,85,75,75
E02000047,15,20,20,15,15,15,15,15,15,10,10,15,20,15,15,15,20
E02000048,35,40,40,35,35,35,35,30,35,35,40,40,40,35,40,40,45
E02000049,10,10,10,10,10,10,10,5,5,5,5,10,5,5,10,10,10
E02000050,30,35,30,30,35,35,35,40,35,35,30,40,40,40,40,45,45
E02000051,50,55,60,50,50,50,50,55,55,55,50,50,50,45,50,55,55
E02000052,135,135,120,95,100,125,115,130,120,115,120,110,115,115,115,75,75
E02000053,25,30,25,25,25,30,25,25,25,20,20,25,25,25,35,40,45
