lsoa,post12,post24
E01002839,10.74050867,28.25929134
E01002838,23.34219971,45
E01002837,20.10002125,37.51867101
E01002835,16.96788762,32.53640936
E01002836,15.45349927,33.01041683
E01002833,10.97472946,10.97472946
E01002834,11.28423166,30.01852943
E01002831,15.22220842,15.22220842
E01002832,11.6437531,11.6437531
E01002830,17.20280599,17.20280599
E01002827,10.71419819,10.71419819
E01002826,14.64882049,15.9368927
E01002829,15.68640865,15.68640865
E01003409,21.74248489,42
E01002828,3.084080867,3.084080867
E01033568,11.64466649,11.64466649
E01033569,14.14458634,14.14458634
E01003400,7.518286269,7.518286269
E01024478,31.5,52.5
E01003407,22.57574579,33.52955349
E01002822,24.68383345,39.80381008
E01003408,24.67235755,27.9891003
E01002823,22.17429507,45
E01003405,15.47505286,42
E01002824,12.98026781,12.98026781
E01002825,8.084429166,8.084429166
E01003406,25.13773221,37.80641381
E01003403,14.22358907,14.22358907
E01024476,50,50
E01003404,16.52598323,16.52598323
E01002820,20.88089415,34.31952714
E01003401,8.056636832,8.056636832
E01002821,24.16703654,38.59926724
E01003402,8.298316004,8.298316004
E01002859,10.85552512,34.45156685
E01033572,4.971246593,4.971246593
E01033573,3.009293,3.009293
E01033570,31.90973383,57
E01033571,25.55073358,46
E01033576,24.33630798,55.5
E01033577,33.671266,600
E01033574,25.59042715,55
E01033575,23.68776727,54
E01033578,48,48
E01033579,34.5,43.5
E01002850,7.043561341,26.50492817
E01003410,18.85301047,34.57104145
E01003411,29.51146205,48
E01003412,27.05726922,53
E01002853,19.88786401,25.70572245
E01024440,53,600
E01003413,33.15550777,46
E01002854,19.32534623,24.14066509
E01003414,36.27249285,40.5
E01002851,5.547906513,25.72146824
E01003415,30.2504536,39
E01002852,18.73555326,35.35445344
E01003416,23.09218633,46
E01002857,15.93185583,28.04509199
E01003417,33.33981317,33
E01002858,17.00747845,39.31547299
E01003418,26.53010863,43.5
E01002855,21.61000322,21.61000322
E01003419,22.0187315,52.5
E01002856,20.30310725,20.30310725
E01002849,11.27083299,31.25253374
E01002848,8.340001669,27.34699674
E01033580,28.88309888,51
E01033581,46,58
E01033582,34.28248951,34.28248951
E01033583,34.5,52
E01033584,17.61696249,55
E01033585,17.93798726,47
E01033586,31.08944294,51
E01033587,8.283940237,8.283940237
E01033588,8.930807109,8.930807109
E01033589,1.536637819,1.536637819
E01003421,31.54275425,52.5
E01003422,31.32830572,40.5
E01003420,23.74391784,34.5
E01003425,24.71845843,24.71845843
E01002840,24.37630583,33.52053762
E01003426,26.87327921,26.87327921
E01002841,18.68323408,32.01093657
E01003423,19.07597203,19.07597203
E01002842,21.86179563,32.82870421
E01003424,19.55936676,19.55936676
E01002843,17.39425138,34.74732355
E01003429,31.86290702,47
E01002844,23.928557,35.2311997
E01002845,27.7531854,35.00293595
E01003427,33.43212083,33.68878639
E01002846,12.27996691,31.66850516
E01003428,15.71146224,15.71146224
