LSOA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E01000001,69.8233,6b,97.4435,35.919
E01000002,83.782,6b,117.912,66.3503
E01000003,41.7417,6b,49.5318,37.3635
E01000005,85.8893,6b,120.847,45.9168
E01000006,22.4558,5,34.1054,0
E01000007,33.3023,6a,47.8117,22.3318
E01000008,7.39059,2,30.9406,0
E01000009,38.3641,6a,43.7088,33.7752
E01000010,32.286,6a,42.9356,8.46497
E01000011,31.9167,6a,36.3299,26.6456
E01000012,16.2314,4,27.0521,2.20301
E01000013,13.1449,3,20.8962,1.99958
E01000014,7.46001,2,16.2866,0
E01000015,8.29508,2,15.1619,2.07213
E01000016,5.11561,2,14.5179,0
E01000017,8.20281,2,13.5186,5.0841
E01000018,7.37822,2,13.6845,2.44621
E01000019,4.58686,1b,7.19492,2.12177
E01000020,6.75302,2,8.79594,3.9694
E01000021,4.86539,1b,8.41557,1.91925
E01000022,6.39859,2,7.07518,5.6463
E01000023,7.01491,2,9.25147,5.31493
E01000024,7.43551,2,9.3316,4.556
E01000025,5.75121,2,7.31673,4.52295
E01000027,3.85844,1b,6.79676,0
E01000028,3.01489,1b,4.71175,0
E01000029,2.5171,1b,5.82126,0
E01000030,4.82101,1b,7.31291,3.66018
E01000031,4.07693,1b,8.02453,0
E01000032,6.6856,2,16.512,0
E01000033,3.91504,1b,5.76066,2.18765
E01000034,3.51145,1b,7.74592,2.16185
E01000035,6.7778,2,13.1111,0
E01000036,7.34586,2,13.5363,0
E01000037,2.32273,1a,7.71771,0
E01000038,8.36135,2,11.3669,2.61415
E01000039,1.99736,1a,8.57395,0
E01000040,9.00812,2,12.4247,3.81673
E01000041,5.72093,2,9.29557,3.93766
E01000042,8.48745,2,14.215,0
E01000043,7.26782,2,13.7289,2.10739
E01000044,8.7118,2,33.6359,2.85249
E01000045,7.08704,2,13.169,2.05132
E01000046,6.09177,2,9.43707,0
E01000048,8.13742,2,11.1329,6.2545
E01000049,7.73561,2,10.9798,3.83885
E01000050,23.446,5,33.0505,8.90522
E01000051,13.4392,3,34.2898,8.17154
E01000052,7.91239,2,11.9748,1.94151
E01000053,5.84284,2,13.3669,0
E01000054,6.31438,2,9.66003,0
E01000055,7.7862,2,9.61568,4.26669
E01000056,1.62771,1a,4.58635,0
E01000057,9.98087,2,12.9471,0
E01000058,7.25869,2,9.74211,2.40983
E01000059,5.43468,2,10.907,1.90957
E01000060,4.72838,1b,12.28,0
E01000061,7.36381,2,12.7427,0
E01000062,4.4875,1b,6.67155,1.65781
E01000063,7.42822,2,9.76543,5.41955
E01000064,4.11487,1b,6.475,2.02134
E01000065,5.82993,2,8.72635,2.80323
E01000066,3.48363,1b,7.42296,0
E01000067,5.81071,2,9.75767,0
E01000068,16.9529,4,35.5024,0
E01000069,8.91029,2,11.7965,4.18423
E01000070,9.08794,2,23.3752,2.58635
E01000071,8.50495,2,16.2988,0
E01000072,3.4708,1b,8.143,0
E01000073,3.68102,1b,6.55727,0
E01000074,5.22423,2,10.4204,1.97661
E01000075,9.06998,2,15.3951,3.39248
E01000076,5.92267,2,11.1308,2.02071
E01000077,7.48654,2,9.6741,4.18383
E01000078,6.90947,2,9.08853,3.56622
E01000079,5.87476,2,11.2742,2.36546
E01000080,5.88791,2,7.88025,2.45281
E01000081,4.9585,1b,7.29953,2.18351
E01000082,4.94285,1b,8.25093,3.22981
E01000083,7.38619,2,8.7434,6.26787
E01000084,13.9159,3,20.845,7.77839
E01000085,13.5581,3,16.8137,11.5025
E01000086,11.3246,3,13.9272,5.47187
E01000087,7.1013,2,16.2393,1.92564
E01000088,4.09005,1b,10.0027,2.10428
E01000089,3.14651,1b,5.95604,0
E01000090,3.1872,1b,10.2488,0
E01000091,4.69844,1b,6.05938,3.33673
E01000092,2.50159,1b,9.83879,0
E01000093,4.76951,1b,7.60286,2.09904
E01000094,3.08911,1b,6.7982,0
E01000095,3.88439,1b,13.2942,0
E01000096,3.51993,1b,7.09582,0
E01000097,14.5706,3,18.0466,13.4908
E01000098,11.0563,3,15.4719,7.58258
E01000099,9.59104,2,14.4511,3.59655
E01000100,4.91511,1b,9.20906,2.76203
E01000101,8.70126,2,11.728,2.49569
E01000102,5.78336,2,8.32672,2.20234
E01000103,3.04832,1b,11.4186,0
E01000104,8.24809,2,12.7561,2.30375
E01000105,8.9166,2,13.6891,2.29305
E01000106,4.76699,1b,8.00885,2.14121
E01000107,2.67607,1b,12.2264,0
E01000108,9.5896,2,14.0192,0
E01000109,4.30923,1b,7.96197,2.785
E01000110,5.20468,2,8.6524,1.89979
E01000111,5.31493,2,8.75081,2.57122
E01000112,9.71421,2,17.8617,0
E01000113,14.5377,3,18.2248,11.0428
E01000114,5.97464,2,10.8011,1.86476
E01000115,7.01025,2,16.9029,2.88052
