lsoa.code,accessibility.poor,accessibility.average,accessibility.good
E01000907,0,54.1,45.9
E01000908,33.7,66.3,0
E01000909,0,100,0
E01000912,0,58.4,41.6
E01000913,27.8,71.8,0.5
E01000893,4,94.8,1.2
E01000894,0,94.5,5.5
E01000895,0,100,0
E01000896,0,64.7,35.3
E01000899,22.2,77.8,0
E01000910,0,34.1,65.9
E01000911,0,8.3,91.7
E01000921,0,0,100
E01000923,0,0,100
E01000928,0,4.7,95.3
E01000878,0,44.6,55.4
E01000879,0,58.3,41.7
E01000880,0,19.3,80.7
E01000884,33.5,66.5,0
E01000885,43,57,0
E01000871,1.7,74.3,24
E01000872,0,4.2,95.8
E01000873,0,82.7,17.3
E01000874,0,0,100
E01000877,0,5.4,94.6
E01000886,0,100,0
E01000887,0,23.4,76.6
E01000888,0,74.8,25.2
E01000892,0,16.8,83.2
E01000903,0,99.2,0.8
E01000889,0,83.3,16.7
E01000890,0,92.7,7.3
E01000891,0,98.8,1.2
E01000901,0,54.4,45.6
E01000922,0,3,97
E01000927,0,0,100
E01000881,0,0,100
E01000882,0,0,100
E01000883,0,0,100
E01000897,0,40.7,59.3
E01000898,0,2.5,97.5
E01000866,0,3.8,96.2
E01000870,0,6.4,93.6
E01000924,0,1.3,98.7
E01000925,0,0,100
E01000926,0,0,100
E01000969,0,0,100
E01000970,0,0,100
E01000971,0,18.4,81.6
E01000972,0,0,100
E01000973,0,0,100
E01000842,0,89.9,10.1
E01000844,0,64.3,35.7
E01000848,0,67.5,32.5
E01000849,0,33.9,66.1
E01000900,0,75.1,24.9
E01000902,28,57.5,14.5
E01000904,0,0,100
E01000905,0,15.2,84.8
E01000906,0,31.5,68.5
E01000875,0,16.1,83.9
E01000876,0,32.8,67.2
E01000931,0,8.3,91.7
E01000932,0,0,100
E01000974,0,0,100
E01000843,0,100,0
E01000845,0,100,0
E01000846,0,99.8,0.2
E01000847,0,35.4,64.6
E01000864,4,96,0
E01000865,0,58.7,41.3
E01000867,0,0,100
E01000868,67.1,32.9,0
E01000869,0,56.6,43.4
E01000962,0,0,100
E01000964,0,0,100
E01000965,0,0,100
E01000966,0,6.7,93.3
E01000968,0,0,100
E01000960,0,0,100
E01000961,0,0,100
E01000963,0,0,100
E01000967,20.8,64.1,15.1
E01000857,0,98.9,1.1
E01000858,0,11.7,88.3
E01000859,0,98.4,1.6
E01000860,0.1,99.9,0
E01000862,0,39.5,60.5
E01000856,0,0,100
E01000861,0,0,100
E01000957,8.4,47.6,44
E01000958,0,1.8,98.2
E01000959,0,0,100
E01000929,0,40.5,59.5
E01000930,0,0,100
E01000933,0,0,100
E01000934,3.8,44.9,51.3
E01000935,34.5,30.3,35.2
E01000863,0,0,100
E01000946,0,16.8,83.2
E01000947,0,0,100
E01000948,0,8.7,91.3
E01000952,0,0,100
E01000953,8.2,6.2,85.6
E01000954,0,0,100
E01000955,0,0,100
E01000956,0,0,100
E01000944,0,0,100
E01000945,0,0,100
E01000949,0,16.1,83.9
E01000950,0,0,100
E01000951,0,0,100
E01000936,0,0,100
E01000938,0,0,100
E01000939,0,0,100
E01000940,0,0,100
E01000853,0,0,100
E01000937,0,0,100
E01000941,0,0,100
E01000942,0,0,100
